Egy	FR0.25T	FR0.5T	FR0.75T	FR1T	FR1.2T	FR1.4T	
2.3473	-0.049987	-0.11154	-0.16685	-0.21856	-0.26314	-0.3085
2.346	-0.049985	-0.11048	-0.16397	-0.2148	-0.26147	-0.30733
2.3448	-0.050577	-0.10709	-0.16336	-0.21744	-0.26295	-0.30511
2.3436	-0.048075	-0.10994	-0.16139	-0.21744	-0.25966	-0.30397
2.3423	-0.047796	-0.10839	-0.16567	-0.21509	-0.26119	-0.30548
2.3411	-0.047971	-0.10636	-0.16324	-0.21371	-0.25892	-0.30259
2.3399	-0.047147	-0.10928	-0.16052	-0.21416	-0.25899	-0.30639
2.3386	-0.047603	-0.10507	-0.16191	-0.21277	-0.25831	-0.30284
2.3374	-0.048121	-0.10816	-0.16224	-0.21322	-0.25672	-0.30222
2.3362	-0.046652	-0.10446	-0.1615	-0.21379	-0.25542	-0.30156
2.335	-0.04336	-0.10649	-0.16365	-0.2134	-0.25414	-0.29953
2.3337	-0.048505	-0.10623	-0.16168	-0.2121	-0.25627	-0.29895
2.3325	-0.046344	-0.10592	-0.16401	-0.21261	-0.25611	-0.3009
2.3313	-0.048469	-0.10789	-0.16217	-0.21281	-0.25596	-0.3023
2.3301	-0.047016	-0.10715	-0.16148	-0.21138	-0.25703	-0.30025
2.3288	-0.048045	-0.10667	-0.1629	-0.21073	-0.25785	-0.30055
2.3276	-0.04688	-0.10762	-0.16065	-0.21326	-0.25654	-0.30047
2.3264	-0.048458	-0.10695	-0.1608	-0.21308	-0.25435	-0.30085
2.3252	-0.050467	-0.10833	-0.15965	-0.21401	-0.25669	-0.30037
2.324	-0.04884	-0.10836	-0.16099	-0.2123	-0.25484	-0.30026
2.3228	-0.047386	-0.1072	-0.15926	-0.21029	-0.25502	-0.2993
2.3215	-0.04848	-0.10777	-0.16064	-0.21103	-0.2547	-0.29685
2.3203	-0.047217	-0.1073	-0.16219	-0.2119	-0.25502	-0.29765
2.3191	-0.046923	-0.10687	-0.16085	-0.21078	-0.25281	-0.29791
2.3179	-0.045787	-0.10698	-0.1613	-0.21031	-0.25254	-0.29679
2.3167	-0.046411	-0.10578	-0.15968	-0.20961	-0.2517	-0.29644
2.3155	-0.047842	-0.10655	-0.16181	-0.20898	-0.25188	-0.29735
2.3143	-0.045046	-0.10511	-0.16126	-0.20849	-0.25192	-0.29444
2.3131	-0.047518	-0.10819	-0.1588	-0.20774	-0.25088	-0.29398
2.3119	-0.048446	-0.1053	-0.15944	-0.20992	-0.25448	-0.29673
2.3107	-0.04507	-0.10498	-0.15812	-0.20604	-0.25089	-0.29425
2.3095	-0.048069	-0.10603	-0.16014	-0.21046	-0.25057	-0.29561
2.3083	-0.044362	-0.10753	-0.15876	-0.20923	-0.25089	-0.29416
2.3071	-0.047553	-0.10338	-0.15967	-0.20779	-0.25062	-0.29686
2.3059	-0.045537	-0.10715	-0.15669	-0.21013	-0.25048	-0.29443
2.3047	-0.047957	-0.10391	-0.15954	-0.20707	-0.25112	-0.29373
2.3035	-0.046112	-0.10501	-0.15723	-0.20766	-0.25021	-0.29296
2.3023	-0.04497	-0.10493	-0.15831	-0.20946	-0.24951	-0.29257
2.3011	-0.046228	-0.10529	-0.15732	-0.20919	-0.24714	-0.29238
2.2999	-0.045639	-0.10662	-0.15817	-0.20821	-0.25135	-0.29274
2.2987	-0.045813	-0.10313	-0.15714	-0.20789	-0.24885	-0.29088
2.2975	-0.047622	-0.105	-0.15676	-0.20802	-0.25	-0.29215
2.2964	-0.044878	-0.10457	-0.15778	-0.20988	-0.24765	-0.29118
2.2952	-0.044954	-0.10353	-0.15512	-0.20615	-0.24717	-0.2888
2.294	-0.045328	-0.10554	-0.15595	-0.20777	-0.24578	-0.2895
2.2928	-0.04446	-0.10355	-0.15474	-0.20481	-0.24639	-0.2896
2.2916	-0.047424	-0.10518	-0.15541	-0.2065	-0.24637	-0.29035
2.2904	-0.045049	-0.10307	-0.1549	-0.20328	-0.24589	-0.2888
2.2893	-0.043001	-0.1029	-0.15647	-0.20196	-0.24572	-0.2884
2.2881	-0.045604	-0.10354	-0.15531	-0.20544	-0.24615	-0.28805
2.2869	-0.044744	-0.10291	-0.15319	-0.20525	-0.24598	-0.28863
2.2857	-0.047726	-0.10543	-0.15687	-0.20683	-0.24587	-0.29027
2.2846	-0.043742	-0.1055	-0.15623	-0.20447	-0.24663	-0.28711
2.2834	-0.047685	-0.1035	-0.15684	-0.20479	-0.24507	-0.28784
2.2822	-0.045668	-0.10465	-0.15436	-0.2049	-0.24435	-0.28887
2.2811	-0.045756	-0.10402	-0.15446	-0.20381	-0.24264	-0.28771
2.2799	-0.047153	-0.10582	-0.15547	-0.20197	-0.24366	-0.28638
2.2787	-0.046774	-0.1051	-0.15425	-0.206	-0.24546	-0.28776
2.2776	-0.044365	-0.10472	-0.15532	-0.20499	-0.24353	-0.28835
2.2764	-0.04804	-0.10356	-0.15503	-0.20502	-0.24214	-0.28599
2.2752	-0.045376	-0.10444	-0.1553	-0.20347	-0.24385	-0.28662
2.2741	-0.046459	-0.10288	-0.15642	-0.20309	-0.24149	-0.28669
2.2729	-0.047831	-0.10405	-0.1542	-0.20306	-0.24395	-0.28379
2.2717	-0.045395	-0.10513	-0.15366	-0.20372	-0.23927	-0.28462
2.2706	-0.045104	-0.10233	-0.15618	-0.2031	-0.24326	-0.28424
2.2694	-0.047184	-0.10287	-0.15245	-0.2031	-0.24261	-0.28502
2.2683	-0.045195	-0.1029	-0.1534	-0.20236	-0.24186	-0.28474
2.2671	-0.047513	-0.1018	-0.15401	-0.20273	-0.2438	-0.2842
2.266	-0.043338	-0.10153	-0.15315	-0.20367	-0.23994	-0.28311
2.2648	-0.046292	-0.10506	-0.1538	-0.20253	-0.24139	-0.28221
2.2636	-0.046717	-0.10224	-0.15437	-0.20496	-0.24104	-0.28243
2.2625	-0.045403	-0.10327	-0.15228	-0.20113	-0.24113	-0.28566
2.2613	-0.046975	-0.10112	-0.15259	-0.2006	-0.23918	-0.27989
2.2602	-0.045638	-0.10106	-0.15126	-0.2	-0.24035	-0.28206
2.2591	-0.044108	-0.10017	-0.15017	-0.19995	-0.23864	-0.27936
2.2579	-0.044019	-0.10172	-0.14982	-0.19988	-0.23825	-0.28218
2.2568	-0.043055	-0.099591	-0.15414	-0.20015	-0.2359	-0.28116
2.2556	-0.04601	-0.099784	-0.15151	-0.19956	-0.23729	-0.28233
2.2545	-0.045561	-0.1012	-0.15236	-0.20066	-0.23893	-0.28108
2.2533	-0.043019	-0.099552	-0.14958	-0.19844	-0.23607	-0.27853
2.2522	-0.044318	-0.098854	-0.15085	-0.19996	-0.23691	-0.27573
2.2511	-0.042602	-0.10039	-0.15151	-0.2002	-0.23656	-0.27789
2.2499	-0.043669	-0.098902	-0.15171	-0.20024	-0.23654	-0.27935
2.2488	-0.046926	-0.10176	-0.15003	-0.20017	-0.24001	-0.27882
2.2476	-0.042123	-0.10243	-0.15188	-0.19953	-0.23693	-0.2779
2.2465	-0.044491	-0.099187	-0.14896	-0.19871	-0.23601	-0.27591
2.2454	-0.041778	-0.098701	-0.15026	-0.19811	-0.23652	-0.27823
2.2442	-0.042804	-0.10012	-0.14999	-0.19649	-0.23548	-0.27589
2.2431	-0.04431	-0.099683	-0.15016	-0.19716	-0.23386	-0.27774
2.242	-0.04333	-0.10094	-0.14855	-0.19715	-0.23889	-0.2769
2.2409	-0.045247	-0.10012	-0.14809	-0.19845	-0.2362	-0.27782
2.2397	-0.044033	-0.097466	-0.14793	-0.19396	-0.2372	-0.27718
2.2386	-0.043554	-0.09845	-0.15011	-0.19537	-0.23565	-0.27422
2.2375	-0.041032	-0.098138	-0.14487	-0.19507	-0.23308	-0.27388
