Egy	FR0.25T	FR0.25T corrected	FR0.5T	FR0.5T corrected	FR0.75T	FR0.75T corrected	FR1T	FR1T corrected	FR1.2T	FR1.2T corrected	FR1.4T	FR1.4T corrected
2.3473	0.0049512	0.022249	-0.0056207	-0.0086862	0.0079052	0.015692	-0.0011161	-0.0046359	-0.0018241	-9.0372E-4	-0.0061338	-0.0060144
2.346	0.0021288	0.019426	-0.006929	-0.0099945	0.0035235	0.01131	-2.407E-4	-0.0037605	6.921E-4	0.0016124	-0.0073227	-0.0072034
2.3448	0.0044516	0.021749	-0.0031269	-0.0061924	0.0082568	0.016044	6.4114E-4	-0.0028787	0.0043579	0.0052783	-0.0030619	-0.0029425
2.3436	0.0046778	0.021975	-0.0062284	-0.0092939	0.005964	0.013751	-0.0028198	-0.0063397	0.001007	0.0019273	-0.0080447	-0.0079253
2.3423	9.7459E-4	0.018272	-0.0057929	-0.0088584	0.0019759	0.0097627	-0.0038098	-0.0073296	-0.0014479	-5.2751E-4	-0.0056323	-0.0055129
2.3411	0.0069663	0.024264	-0.0014152	-0.0044807	0.0075447	0.015331	0.0032004	-3.1939E-4	0.0052504	0.0061707	-0.0031483	-0.0030289
2.3399	0.0025297	0.019827	-0.0057508	-0.0088163	0.003291	0.011078	0.0014858	-0.0020341	1.7919E-4	0.0010995	-0.0059744	-0.0058551
2.3386	0.0068785	0.024176	-0.0021102	-0.0051757	0.0028865	0.010673	8.0114E-4	-0.0027187	3.1975E-4	0.0012401	-0.0044057	-0.0042863
2.3374	0.0050855	0.022383	-0.0049024	-0.0079679	0.0041952	0.011982	-6.1385E-4	-0.0041337	4.4477E-4	0.0013651	-0.0014218	-0.0013024
2.3362	0.0062132	0.023511	-0.0031214	-0.0061869	0.0064236	0.01421	0.003725	2.0512E-4	8.0471E-4	0.0017251	-0.0051388	-0.0050194
2.335	0.0061844	0.023482	-0.0016986	-0.0047641	0.005893	0.01368	0.0028973	-6.2256E-4	0.003154	0.0040743	-0.0031059	-0.0029865
2.3337	0.0061915	0.023489	-0.002967	-0.0060325	0.0045947	0.012381	0.0015932	-0.0019266	0.0046284	0.0055488	-0.0034203	-0.0033009
2.3325	0.0047277	0.022025	-0.0050564	-0.0081219	0.0027886	0.010575	0.0012529	-0.002267	8.6179E-4	0.0017821	-0.0047768	-0.0046574
2.3313	0.0033582	0.020656	-0.0061155	-0.009181	0.0052943	0.013081	4.7492E-4	-0.0030449	0.0021726	0.003093	-0.0061933	-0.0060739
2.3301	0.0041157	0.021413	-0.0033376	-0.0064031	0.0027315	0.010518	9.6891E-4	-0.0025509	0.0028712	0.0037915	-0.0047336	-0.0046142
2.3288	0.005411	0.022708	-0.0054818	-0.0085473	0.0037911	0.011578	-8.645E-4	-0.0043843	0.0036375	0.0045579	-0.0045942	-0.0044748
2.3276	0.0064399	0.023737	-0.0045773	-0.0076428	0.0051325	0.012919	0.0019967	-0.0015232	0.0024683	0.0033887	-0.0039346	-0.0038153
2.3264	6.1894E-4	0.017916	-0.0082247	-0.01129	-4.5869E-5	0.007741	-0.0020021	-0.0055219	-0.0025629	-0.0016426	-0.0051139	-0.0049945
2.3252	0.0038842	0.021182	-0.0076338	-0.010699	0.003912	0.011699	-2.6801E-4	-0.0037878	0.0013332	0.0022535	-0.0049175	-0.0047981
2.324	0.0061954	0.023493	-0.0021185	-0.005184	0.0067973	0.014584	0.0033365	-1.8336E-4	0.0045696	0.0054899	-2.0204E-4	-8.2672E-5
2.3228	0.0032309	0.020528	-0.0057409	-0.0088064	0.0054019	0.013189	-9.0019E-4	-0.00442	0.0016181	0.0025384	-0.0026305	-0.0025111
2.3215	0.0027025	0.02	-0.0044111	-0.0074766	0.0020472	0.009834	-0.002337	-0.0058568	4.0735E-5	9.6108E-4	-0.0053041	-0.0051848
2.3203	0.0063336	0.023631	-0.001846	-0.0049115	0.0067187	0.014506	0.0038707	3.5084E-4	0.0041566	0.0050769	6.4668E-4	7.6606E-4
2.3191	-2.951E-4	0.017002	-0.0069172	-0.0099827	0.0016518	0.0094386	-1.5147E-4	-0.0036713	-5.5885E-4	3.615E-4	-0.0070009	-0.0068815
2.3179	0.0038358	0.021133	-0.0023315	-0.005397	9.7164E-4	0.0087585	0.0013409	-0.0021789	0.0042445	0.0051648	-0.0029607	-0.0028414
2.3167	0.0018627	0.01916	-0.0040436	-0.0071091	0.0046004	0.012387	1.6289E-4	-0.0033569	0.0011144	0.0020347	-0.0024442	-0.0023248
2.3155	-9.3578E-4	0.016362	-0.0068624	-0.0099279	0.0021567	0.0099435	-0.0014115	-0.0049313	0.0027838	0.0037041	-0.0073981	-0.0072787
2.3143	0.004035	0.021333	-0.0042647	-0.0073302	0.001969	0.0097559	-8.5422E-4	-0.0043741	9.6118E-4	0.0018815	-0.0029904	-0.002871
2.3131	-0.0010533	0.016244	-0.0067743	-0.0098398	-6.6507E-5	0.0077203	-0.0035861	-0.007106	-8.1852E-4	1.0183E-4	-0.006718	-0.0065987
2.3119	0.0031595	0.020457	-0.0029674	-0.0060329	0.0040734	0.01186	-5.3903E-4	-0.0040589	0.0023379	0.0032582	-0.0011545	-0.0010352
2.3107	0.0019835	0.019281	-0.0026107	-0.0056762	0.0031117	0.010898	-7.7013E-4	-0.00429	0.0033761	0.0042964	-0.0041219	-0.0040025
2.3095	0.0039459	0.021243	-0.0064382	-0.0095037	0.0027954	0.010582	3.6812E-4	-0.0031517	0.003503	0.0044234	-0.0019471	-0.0018278
2.3083	0.0045957	0.021893	-0.0039779	-0.0070434	9.6844E-4	0.0087553	1.9799E-4	-0.0033219	0.0017611	0.0026814	-0.0058565	-0.0057371
2.3071	0.0027947	0.020092	-0.0034124	-0.0064779	0.0021432	0.00993	-6.7866E-4	-0.0041985	8.4134E-4	0.0017617	-0.0042079	-0.0040885
2.3059	-4.3831E-4	0.016859	-0.0083454	-0.011411	5.9109E-4	0.0083779	-5.4834E-4	-0.0040682	-0.0026377	-0.0017174	-0.0047031	-0.0045837
2.3047	0.0043388	0.021636	7.4469E-5	-0.002991	0.0042974	0.012084	0.0034984	-2.1465E-5	0.002645	0.0035653	8.2947E-5	2.0232E-4
2.3035	-0.0013201	0.015977	-0.009068	-0.012134	-0.0028104	0.0049764	-0.0041353	-0.0076551	-0.0013731	-4.5278E-4	-0.0057426	-0.0056233
2.3023	0.0052877	0.022585	0.0018466	-0.0012189	0.0058225	0.013609	0.0075215	0.0040017	0.0055056	0.006426	0.0015801	0.0016995
2.3011	-0.0027471	0.01455	-0.0083473	-0.011413	-0.002529	0.0052578	-0.0058735	-0.0093933	-0.0034738	-0.0025535	-0.0058749	-0.0057556
2.2999	0.0028638	0.020161	-0.0028633	-0.0059288	-0.0014977	0.0062892	-0.001004	-0.0045238	7.3385E-4	0.0016542	-0.0045177	-0.0043983
2.2987	0.0018875	0.019185	-0.0055775	-0.008643	-0.0024057	0.0053812	-0.0018095	-0.0053294	-0.0018636	-9.433E-4	-0.0053056	-0.0051862
2.2975	-1.0038E-4	0.017197	-0.0067269	-0.0097924	-0.001799	0.0059878	-8.6009E-4	-0.0043799	-0.0013262	-4.0587E-4	-0.0053928	-0.0052734
2.2964	0.0039031	0.021201	-0.0022257	-0.0052912	9.934E-4	0.0087802	0.002874	-6.4588E-4	7.7084E-4	0.0016912	-0.003903	-0.0037836
2.2952	0.0037731	0.021071	-0.0052732	-0.0083388	0.0025769	0.010364	8.9995E-4	-0.0026199	3.1414E-4	0.0012345	-0.0042473	-0.0041279
2.294	0.0016021	0.0189	-0.0036181	-0.0066836	0.0038829	0.01167	0.0031381	-3.8177E-4	0.0038517	0.004772	-0.0025431	-0.0024237
2.2928	0.0014137	0.018711	-0.0050437	-0.0081092	0.0019393	0.0097261	-0.0010753	-0.0045952	-0.002382	-0.0014617	-0.0040617	-0.0039423
2.2916	5.1935E-4	0.017817	-0.0070926	-0.010158	-0.001099	0.0066878	-4.9811E-4	-0.0040179	-0.0015159	-5.9559E-4	-0.0067022	-0.0065828
2.2904	4.5612E-4	0.017754	-0.0048396	-0.0079051	8.9606E-4	0.0086829	-0.0023191	-0.005839	-0.0018103	-8.8998E-4	-0.0043503	-0.0042309
2.2893	0.0020384	0.019336	-0.0050314	-0.0080969	-3.3708E-4	0.0074497	0.0029969	-5.2293E-4	5.4849E-4	0.0014688	-0.002316	-0.0021966
2.2881	-3.8671E-4	0.016911	-0.0033704	-0.0064359	0.0011566	0.0089434	-4.4149E-4	-0.0039613	-1.6604E-4	7.5431E-4	-0.0025848	-0.0024654
2.2869	0.0014735	0.018771	-0.0014641	-0.0045296	0.0039576	0.011744	0.0022157	-0.0013041	0.0011538	0.0020741	0.0010722	0.0011916
2.2857	-0.0014179	0.01588	-0.0074059	-0.010471	-0.0044382	0.0033486	-0.0050967	-0.0086166	-8.2131E-4	9.9034E-5	-0.0065577	-0.0064384
2.2846	3.8261E-6	0.017301	-0.0027421	-0.0058076	-0.0013614	0.0064255	7.1376E-4	-0.0028061	-4.0154E-4	5.188E-4	-0.0033406	-0.0032212
2.2834	-7.7853E-4	0.016519	-0.0041744	-0.0072399	-0.0024964	0.0052905	-0.0022592	-0.005779	-0.0020312	-0.0011108	-0.005118	-0.0049986
2.2822	-0.0014314	0.015866	-0.0075427	-0.010608	-0.0016194	0.0061675	-0.0034139	-0.0069337	-0.0038293	-0.002909	-0.0078448	-0.0077255
2.2811	0.0031971	0.020495	-2.1636E-5	-0.0030871	0.0012824	0.0090692	0.0011713	-0.0023486	9.8042E-4	0.0019008	-0.0030213	-0.002902
2.2799	7.4006E-4	0.018038	-0.0047987	-0.0078642	-1.1154E-4	0.0076753	-0.0018942	-0.0054141	-0.0019682	-0.0010478	-0.0033886	-0.0032692
2.2787	-7.9028E-4	0.016507	-0.0060925	-0.009158	-0.0023084	0.0054785	-0.0011428	-0.0046627	-3.1E-5	8.8934E-4	-0.0032745	-0.0031551
2.2776	0.0020472	0.019345	-0.0043048	-0.0073703	-0.0016837	0.0061031	-3.8087E-4	-0.0039007	-0.0010688	-1.4844E-4	-0.0035767	-0.0034573
2.2764	-0.001822	0.015476	-0.0070635	-0.010129	-0.0018964	0.0058904	-0.0010084	-0.0045282	-0.0019902	-0.0010699	-0.0049201	-0.0048007
2.2752	9.858E-4	0.018283	-0.0024415	-0.005507	4.5084E-4	0.0082377	0.001852	-0.0016679	7.4835E-4	0.0016687	-0.0011311	-0.0010117
2.2741	-0.0025834	0.014714	-0.005959	-0.0090245	-0.0035232	0.0042636	3.5292E-5	-0.0034845	-0.0015478	-6.2746E-4	-0.0039382	-0.0038188
2.2729	-0.0013453	0.015952	-0.0053959	-0.0084614	-0.0024203	0.0053665	8.2886E-4	-0.002691	-0.0023003	-0.00138	-0.0033578	-0.0032384
2.2717	-0.0028969	0.014401	-0.0086095	-0.011675	-0.0026319	0.0051549	-0.001608	-0.0051278	-0.0025989	-0.0016785	-0.0027909	-0.0026716
2.2706	0.0012939	0.018591	-0.0052622	-0.0083277	-0.0025311	0.0052557	-5.7278E-4	-0.0040926	7.8781E-5	9.9913E-4	-0.0027662	-0.0026469
2.2694	-0.0027668	0.014531	-0.0064128	-0.0094783	-0.0030304	0.0047564	-0.0046225	-0.0081424	-0.0038767	-0.0029563	-0.0064411	-0.0063217
